Station;Long;Lat;X;Y;Z;G_Obs;GRS1980 (gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;ABT;DDZ;_Distance;ARB
93;-75.408;4.4427;4732883.463;2049345.17;1802.569;977628.5013;978063.6821;-556.2727934;121.0919761;-433.7398971;198.7153993;-77.62342321;2.6300245;18.5238;-59.08;-0.00219;0;-0.89
98;-75.3415;4.4585;4740260.711;2051069.569;2014.366;977621.7091;978063.9024;-621.6333476;179.440009;-221.9428971;222.0639233;-42.62391423;2.6300245;14.8273;-27.77;0.00681;7577.6;13.77
1000;-75.4053;4.5156;4733205.458;2057405.449;2127.088;977552.7659;978064.7051;-656.4193568;144.4801254;-109.2208971;234.4904086;-90.01028318;2.6300245;17.8755;-72.11;0.00599;17062.1;-5.59
1001;-75.4063;4.5073;4733091.517;2056492.891;1954.45;977583.5755;978064.5878;-603.14327;122.1309466;-281.8588971;215.458777;-93.32783043;2.6300245;25.0323;-68.27;0.02857;17981.9;-3.48
1002;-75.4071;4.5116;4733001.529;2056965.559;1981.408;977578.0543;978064.6486;-611.4625088;124.8682381;-254.9008971;218.4306298;-93.56239172;2.6300245;23.3035;-70.24;0.00437;18463.1;-4.6
1003;-75.408;4.5159;4732903.467;2057445.212;1990.299;977574.6432;978064.7094;-614.2062714;124.140096;-246.0098971;219.4107746;-95.27067865;2.6300245;24.5482;-70.7;-0.00826;18952.8;-4.91
1004;-75.4082;4.5205;4732884.868;2057954.18;2023.524;977569.0439;978064.7745;-624.4595064;128.7289204;-212.7848971;223.0735022;-94.34458174;2.6300245;22.7054;-71.62;-0.00301;19462.2;-5.13
1005;-75.407;4.5057;4733015.573;2056311.956;1952.983;977585.4489;978064.5652;-602.6905538;123.5742194;-283.3258971;215.2970548;-91.72283542;2.6300245;25.3966;-66.3;0.0014;21109.9;-2.28
1006;-75.4086;4.5091;4732834.901;2056687.861;1964.5;977581.9249;978064.6132;-606.2447;123.5563545;-271.8088971;216.5666901;-93.01033561;2.6300245;25.5588;-67.43;-0.00002;21527.1;-3.07
1007;-75.4096;4.5132;4732722.86;2057148.52;1996.752;977574.7723;978064.6712;-616.1976672;126.2987782;-239.5568971;220.122154;-93.82337583;2.6300245;24.8614;-68.94;-0.00181;22001.3;-3.78
1008;-75.4096;4.5178;4732725.304;2057656.494;2007.804;977571.4998;978064.7363;-619.6083144;126.3718535;-228.5048971;221.3405277;-94.96867423;2.6300245;24.4235;-70.52;-0.00041;22509.3;-4.56
1009;-75.4106;4.5059;4732616.519;2056339.144;2194.241;977544.136;978064.5681;-677.1427726;156.710715;-42.06789706;241.8933625;-85.18264752;2.6300245;20.1336;-65.03;0.00131;23831.4;-1.36
1010;-75.4139;4.5101;4732251.102;2056810.842;2100.813;977556.2384;978064.6274;-648.3108918;139.9219186;-135.4958971;231.5938498;-91.67193125;2.6300245;26.8929;-64.76;0.00104;24428.2;-1.02
1011;-75.3953;4.49;4734303.005;2054572.193;2411.321;977506.0723;978064.344;-744.1336606;185.8619585;175.0121029;265.8242849;-79.96232643;2.6300245;12.7992;-67.14;0.00046;27465.5;-3.5
