Station;Long;Lat;X;Y;Z;G_Obs;GRS1980_(gt);CA;AAL;dH_ref;CB;ABS;rho_Jung;CT;Corr_terr_limpia;ABT;ARegB;AResB
93;-75.408;4.4427;4732883.463;2049345.17;1802.569;977628.5013;978063.6821172583;-556.2727934;121.09197614168852;-433.7398970588238;198.715399347187;-77.62342320549848;2.6300245002230516;18.696838685449666;102.39513745622385;-58.92658452004882;-61.95822234983767;3.031637829788849
98;-75.3415;4.4585;4740260.711;2051069.569;2014.366;977621.7091;978063.9024385534;-621.6333476;179.44000904657878;-221.94289705882375;222.06392327916194;-42.62391423258316;2.6300245002230516;20.828771205793203;158.61123784078558;-21.795143026789958;-61.53274701842723;39.73760399163727
1000;-75.4053;4.5156;4733205.458;2057405.449;2127.088;977552.7659;978064.7051313686;-656.4193568000001;144.4801254314034;-109.22089705882354;234.490408614932;-90.0102831835286;2.6300245002230516;17.74504828328976;126.73507714814728;-72.26523490023884;-62.678407775668134;-9.586827124570704
1001;-75.4063;4.5073;4733091.517;2056492.891;1954.45;977583.5755;978064.5878233964;-603.14327;122.1309466036032;-281.8588970588237;215.4587770310649;-93.32783042746169;2.6300245002230516;17.72959706004868;104.40134954355499;-75.59823336741302;-62.62159541332781;-12.976637954085206
1002;-75.4071;4.5116;4733001.529;2056965.559;1981.408;977578.0543;978064.6485706843;-611.4625087999999;124.86823811570923;-254.90089705882383;218.43062983425938;-93.56239171855015;2.6300245002230516;17.475493156552485;107.39274495913071;-76.08689856199766;-62.670610039282806;-13.41628852271485
1003;-75.408;4.5159;4732903.467;2057445.212;1990.299;977574.6432;978064.709375424;-614.2062714;124.14009597608822;-246.00989705882375;219.41077462516384;-95.27067864907562;2.6300245002230516;17.305823427359055;106.83427254870585;-77.96485522171656;-62.72321034545163;-15.241644876264928
1004;-75.4082;4.5205;4732884.868;2057954.18;2023.524;977569.0439;978064.7744859577;-624.4595063999999;128.7289204423554;-212.78489705882384;223.0735021786224;-94.344581736267;2.6300245002230516;17.276238611274444;111.452681831127;-77.06834312499257;-62.76930856736257;-14.299034557629994
1005;-75.407;4.5057;4733015.573;2056311.956;1952.983;977585.4489;978064.5652344209;-602.6905538;123.57421937902188;-283.3258970588238;215.29705479416725;-91.72283541514537;2.6300245002230516;17.843657838536362;105.73056154045562;-73.87917757660901;-62.61005487930542;-11.269122697303587
1006;-75.4086;4.5091;4732834.901;2056687.861;1964.5;977581.9249;978064.6132455025;-606.2447;123.55635449752003;-271.80889705882373;216.56669010592597;-93.01033560840594;2.6300245002230516;17.483323965871644;106.07303053168772;-75.52701164253429;-62.65866208794846;-12.868349554585834
1007;-75.4096;4.5132;4732722.86;2057148.52;1996.752;977574.7723;978064.6711889922;-616.1976672;126.29877820773788;-239.55689705882378;220.12215403532088;-93.82337582758299;2.6300245002230516;17.447416252310873;108.85136195542894;-76.37595957527212;-62.7074544603482;-13.668505114923917
