Station;Long;Lat;X;Y;Z;G_Obs
93;-75.408;4.4427;4732883.463;2049345.17;1802.569;977628.5013
98;-75.3415;4.4585;4740260.711;2051069.569;2014.366;977621.7091
1000;-75.4053;4.5156;4733205.458;2057405.449;2127.088;977552.7659
1001;-75.4063;4.5073;4733091.517;2056492.891;1954.45;977583.5755
1002;-75.4071;4.5116;4733001.529;2056965.559;1981.408;977578.0543
1003;-75.408;4.5159;4732903.467;2057445.212;1990.299;977574.6432
1004;-75.4082;4.5205;4732884.868;2057954.18;2023.524;977569.0439
1005;-75.407;4.5057;4733015.573;2056311.956;1952.983;977585.4489
1006;-75.4086;4.5091;4732834.901;2056687.861;1964.5;977581.9249
1007;-75.4096;4.5132;4732722.86;2057148.52;1996.752;977574.7723
1008;-75.4096;4.5178;4732725.304;2057656.494;2007.804;977571.4998
1009;-75.4106;4.5059;4732616.519;2056339.144;2194.241;977544.136
1010;-75.4139;4.5101;4732251.102;2056810.842;2100.813;977556.2384
1011;-75.3953;4.49;4734303.005;2054572.193;2411.321;977506.0723
1012;-75.398;4.4946;4734011.849;2055090.108;2296.192;977528.5646
1013;-75.3967;4.4992;4734158.279;2055595.622;2251.795;977534.3848
1014;-75.3943;4.5035;4734416.014;2056064.897;2205.731;977542.56
1015;-75.3981;4.5058;4733999.026;2056329.517;2208.479;977544.0495
1016;-75.4025;4.5078;4733510.4;2056550.593;2133.384;977554.7794
1017;-75.4032;4.5123;4733441.5;2057048.388;2129.391;977554.2436
1018;-75.4087;4.523;4732827.547;2058229.955;2010.975;977570.055
1019;-75.4227;4.4528;4731248.428;2050471.747;2111.11;977570.0439
1020;-75.4159;4.4597;4732006.467;2051236.834;2137.603;977564.3753
1021;-75.4072;4.4618;4732973.322;2051464.868;2235.471;977551.7363
1022;-75.3992;4.4577;4733859.664;2051002.088;2317.256;977524.4414
1023;-75.4113;4.4693;4732526.472;2052295.011;2380.482;977520.0213
1024;-75.4138;4.4776;4732243.642;2053211.359;2427.719;977507.5723
1025;-75.4155;4.4881;4732063.661;2054370.089;2406.571;977507.7159
1026;-75.414;4.4989;4732230.822;2055571.526;2325.947;977520.4187
1027;-75.3951;4.4502;4734317.403;2050170.414;2098.681;977573.3907
1028;-75.3853;4.4447;4735398.749;2049562.198;2116.528;977565.6238
1029;-75.3917;4.4425;4734691.326;2049322.013;1788.618;977632.8437
1030;-75.4053;4.4506;4733186.203;2050226.421;1753.793;977636.6684
1031;-75.413;4.4512;4732321.881;2050289.612;1816.68;977624.3366
1032;-75.4308;4.4479;4730347.029;2049937.605;2047.998;977581.4804
1033;-75.4162;4.5188;4731998.374;2057771.731;2334.807;977517.8691
1034;-75.4247;4.5207;4731053.774;2057981.394;2634.844;977458.7236
1035;-75.4197;4.5261;4731606.7;2058581.933;2193.644;977540.0651
1036;-75.4238;4.5144;4731154.25;2057283.326;2646.374;977458.6535
1037;-75.4224;4.4991;4731303.75;2055593.762;2885.666;977410.3691
1038;-75.4223;4.4904;4731308.913;2054631.418;2949.058;977399.9426
1039;-75.4217;4.4806;4731369.286;2053546.074;2672.678;977460.6962
1040;-75.4217;4.4728;4731367.498;2052678.497;3007.929;977380.5015
1041;-75.4241;4.4633;4731098.753;2051639.218;2655.509;977460.1013
1042;-75.4156;4.5056;4732059.777;2056312.42;2402.232;977505.6279
1043;-75.4177;4.4676;4731805.387;2052110.459;2660.153;977457.156
1044;-75.3847;4.5238;4735495.705;2058312.305;2927.404;977398.6714
1045;-75.3896;4.5163;4734944.968;2057477.152;2737.342;977435.7248
1046;-75.3626;4.5235;4737941.901;2058269.897;2366.585;977508.0421
1047;-75.3685;4.5179;4737288.606;2057646.187;2333.425;977518.4959
1048;-75.369;4.513;4737230.933;2057108.424;2353.172;977516.9607
1049;-75.3768;4.5218;4736366.573;2058089.337;2603.956;977464.8784
1050;-75.3824;4.5155;4735742.963;2057391.357;2505.518;977485.5188
1051;-75.4027;4.5269;4733492.531;2058664.55;2403.849;977499.9649
1052;-75.3934;4.5137;4734522.756;2057196.507;2545.61;977476.1045
1053;-75.3987;4.5151;4733938.999;2057352.923;2369.157;977508.7987
1054;-75.3728;4.4893;4736804.04;2054489.85;2442.736;977503.2102
1055;-75.3721;4.4848;4736881.365;2053996.613;2542.674;977485.9868
1056;-75.3937;4.464;4734476.462;2051704.983;1649.988;977645.8979
1057;-75.3998;4.4706;4733798.979;2052430.164;1726.835;977633.1084
1058;-75.4027;4.4794;4733478.172;2053402.827;1759.402;977618.9411
1059;-75.4061;4.4864;4733110.089;2054181.265;1903.289;977595.6017
1060;-75.4086;4.4956;4732829.657;2055198.699;1931.298;977589.7657
1061;-75.3897;4.4877;4734926.503;2054321.067;2741.795;977426.0208
1062;-75.3841;4.4889;4735544.745;2054446.675;2739.027;977427.2135
